team,ranking,date
HOU,0.3664762315149323,2015-11-11
UTA,0.3668736373405833,2015-11-11
TOR,0.4285248025633856,2015-11-11
MIA,0.4790251703453859,2015-11-11
OKC,0.4841362961814029,2015-11-11
LAC,0.6972335849547189,2015-11-11
SAS,0.7135165937055692,2015-11-11
ATL,0.9343103280542362,2015-11-11
DET,1.0173157072521988,2015-11-11
CLE,1.2702254155004749,2015-11-11
GSW,1.915249716225124,2015-11-11
PHI,-1.9644844558222738,2015-11-12
LAL,-1.5522825432685496,2015-11-12
BKN,-1.4839434393231148,2015-11-12
NOP,-1.2282794361816807,2015-11-12
SAC,-0.9892876831885201,2015-11-12
MIL,-0.5148195753445554,2015-11-12
MEM,-0.38522450145083753,2015-11-12
ORL,-0.3445965993356853,2015-11-12
BOS,-0.307788700983587,2015-11-12
PHX,-0.2219005594246231,2015-11-12
DAL,-0.19228619571213515,2015-11-12
WAS,-0.16078881505844927,2015-11-12
POR,-0.13334022985523222,2015-11-12
NYK,-0.1042745169942849,2015-11-12
HOU,-0.05644646895554281,2015-11-12
DEN,0.09544747009588536,2015-11-12
CHI,0.3046904767235779,2015-11-12
IND,0.31718413135726786,2015-11-12
CHA,0.31893395084963627,2015-11-12
MIN,0.3546352731900248,2015-11-12
UTA,0.3564725740524595,2015-11-12
LAC,0.38734134053710734,2015-11-12
MIA,0.48511695580705466,2015-11-12
OKC,0.49247959859253615,2015-11-12
TOR,0.5066765637498312,2015-11-12
DET,0.6052955995467398,2015-11-12
SAS,0.9151368991106246,2015-11-12
ATL,0.9804837808252118,2015-11-12
CLE,1.2639387355865244,2015-11-12
GSW,1.9740728708934692,2015-11-12
PHI,-1.9696079141030212,2015-11-13
LAL,-1.555022085481181,2015-11-13
BKN,-1.484092557824091,2015-11-13
NOP,-1.2238959403101386,2015-11-13
SAC,-0.9957561596369319,2015-11-13
MIL,-0.5156134578047756,2015-11-13
MEM,-0.3934567653769796,2015-11-13
ORL,-0.34431309654905917,2015-11-13
BOS,-0.3084970676890852,2015-11-13
DAL,-0.1954209006253882,2015-11-13
WAS,-0.16017179825019498,2015-11-13
POR,-0.12762897282928642,2015-11-13
NYK,-0.10383717961307057,2015-11-13
HOU,-0.05404435270631666,2015-11-13
PHX,0.026727828892479516,2015-11-13
DEN,0.08413435092067896,2015-11-13
UTA,0.152799905699399,2015-11-13
LAC,0.15809554345819582,2015-11-13
MIN,0.23769709576777495,2015-11-13
CHI,0.30039134809203416,2015-11-13
IND,0.31436568745682303,2015-11-13
CHA,0.3220431948455286,2015-11-13
OKC,0.4986263932095602,2015-11-13
TOR,0.5114855557376182,2015-11-13
DET,0.6069157009597228,2015-11-13
MIA,0.6506472922318004,2015-11-13
SAS,0.9155664917331787,2015-11-13
ATL,0.9836226735022271,2015-11-13
CLE,1.2643933165724408,2015-11-13
GSW,2.0844631073090554,2015-11-13
PHI,-2.0015867649235957,2015-11-14
LAL,-1.6383997609716354,2015-11-14
BKN,-1.6365603930267885,2015-11-14
NOP,-1.300444208314293,2015-11-14
SAC,-0.8386558194201551,2015-11-14
MIL,-0.5172382950704736,2015-11-14
POR,-0.31555941740079296,2015-11-14
NYK,-0.22904485135901886,2015-11-14
HOU,-0.21154800902847842,2015-11-14
MEM,-0.18584945325747335,2015-11-14
WAS,-0.15035044327129968,2015-11-14
ORL,-0.12660207520782907,2015-11-14
DAL,-0.10900782777041376,2015-11-14
UTA,-0.06488743002038173,2015-11-14
BOS,0.014343662758905503,2015-11-14
PHX,0.024546107948653705,2015-11-14
MIN,0.04947814835194457,2015-11-14
CHA,0.11981771232445532,2015-11-14
