home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
PHI,NY,61.0,62.0,3,10:08,-400.0,280.0
MIL,MIA,64.0,66.0,3,12:00,-150.0,120.0
CLE,CHA,94.0,111.0,4,5:47,1800.0,-6000.0
ORL,IND,99.0,98.0,4,5:28,-130.0,100.0
PHI,NY,61.0,62.0,3,10:03,-400.0,280.0
HOU,UTA,50.0,66.0,2,0:13,1500.0,-4500.0
CLE,CHA,94.0,111.0,4,5:22,1800.0,-6000.0
ORL,IND,99.0,98.0,4,5:21,-130.0,100.0
PHI,NY,61.0,67.0,3,9:26,-220.0,170.0
HOU,UTA,53.0,66.0,3,12:00,1500.0,-4500.0
CLE,CHA,94.0,114.0,4,4:50,1800.0,-6000.0
ORL,IND,99.0,101.0,4,4:48,175.0,-225.0
PHI,NY,64.0,67.0,3,9:00,-290.0,215.0
HOU,UTA,53.0,66.0,3,12:00,1400.0,-4000.0
CLE,CHA,94.0,114.0,4,4:16,1800.0,-6000.0
ORL,IND,99.0,101.0,4,4:33,175.0,-225.0
PHI,NY,64.0,67.0,3,8:50,-290.0,215.0
CLE,CHA,94.0,114.0,4,3:58,1800.0,-6000.0
ORL,IND,99.0,101.0,4,4:06,240.0,-330.0
PHI,NY,64.0,70.0,3,8:42,-195.0,155.0
DEN,OKC,0.0,0.0,1,11:54,-1600.0,800.0
ORL,IND,99.0,101.0,4,4:06,220.0,-300.0
PHI,NY,65.0,70.0,3,8:37,-235.0,180.0
DEN,OKC,0.0,2.0,1,11:18,-1300.0,700.0
ORL,IND,99.0,102.0,4,3:58,190.0,-255.0
PHI,NY,66.0,70.0,3,8:21,-290.0,215.0
DEN,OKC,0.0,4.0,1,10:45,-950.0,550.0
ORL,IND,100.0,102.0,4,3:52,160.0,-200.0
PHI,NY,69.0,70.0,3,8:00,-400.0,280.0
DEN,OKC,0.0,6.0,1,10:18,-825.0,500.0
ORL,IND,102.0,102.0,4,3:22,160.0,-200.0
PHI,NY,69.0,72.0,3,7:31,-350.0,250.0
NO,SAC,65.0,61.0,2,,-330.0,240.0
DEN,OKC,1.0,6.0,1,10:10,-1300.0,700.0
CLE,CHA,94.0,114.0,4,3:57,1800.0,-6000.0
ORL,IND,104.0,104.0,4,3:06,140.0,-170.0
PHI,NY,69.0,72.0,3,7:00,-290.0,215.0
DEN,OKC,2.0,6.0,1,9:55,-1150.0,650.0
CLE,CHA,94.0,114.0,4,3:41,1800.0,-6000.0
ORL,IND,104.0,104.0,4,2:32,-130.0,100.0
PHI,NY,69.0,72.0,3,7:00,-265.0,200.0
DEN,OKC,2.0,6.0,1,9:25,-1300.0,700.0
CLE,CHA,94.0,114.0,4,3:08,1800.0,-6000.0
ORL,IND,106.0,104.0,4,1:57,-165.0,135.0
PHI,NY,69.0,73.0,3,6:57,-280.0,210.0
DEN,OKC,2.0,9.0,1,8:50,-950.0,550.0
CLE,CHA,94.0,114.0,4,2:33,1800.0,-6000.0
