team,gameid,date,home,pts,ppm,poss,tov_rate,reb_rate,oreb_rate,dreb_rate,efpg,tsp,off_eff,def_eff
NOP,22100022,2021-10-22,False,112.0,2.333333333333333,106.5,0.1596244131455399,0.4631578947368421,0.26,0.6888888888888889,0.5689655172413793,0.5436893203883495,1.051643192488263,1.2018779342723005
HOU,22100023,2021-10-22,True,124.0,2.583333333333333,113.5,0.1497797356828193,0.5614035087719298,0.3584905660377358,0.7377049180327869,0.5947368421052631,0.5688073394495413,1.092511013215859,0.801762114537445
OKC,22100023,2021-10-22,False,91.0,1.8958333333333333,113.5,0.1674008810572687,0.4385964912280701,0.2622950819672131,0.6415094339622641,0.4505494505494505,0.4252336448598131,0.801762114537445,1.092511013215859
DEN,22100024,2021-10-22,True,102.0,2.125,108.5,0.1935483870967742,0.4946236559139785,0.25,0.7142857142857143,0.563953488372093,0.5425531914893617,0.9400921658986175,0.8847926267281107
SAS,22100024,2021-10-22,False,96.0,2.0,108.5,0.184331797235023,0.5053763440860215,0.2857142857142857,0.75,0.5119047619047619,0.4897959183673469,0.8847926267281107,0.9400921658986175
LAL,22100025,2021-10-22,True,105.0,2.1875,102.5,0.1560975609756097,0.4909090909090909,0.3166666666666666,0.7,0.4825581395348837,0.4565217391304347,1.024390243902439,1.1219512195121952
PHX,22100025,2021-10-22,False,115.0,2.395833333333333,102.5,0.1170731707317073,0.509090909090909,0.3,0.6833333333333333,0.5465116279069767,0.5043859649122807,1.1219512195121952,1.024390243902439
SAC,22100026,2021-10-22,True,101.0,2.1041666666666665,103.5,0.144927536231884,0.5081967213114754,0.3970588235294117,0.6481481481481481,0.4343434343434343,0.4208333333333333,0.9758454106280192,1.0628019323671498
UTA,22100026,2021-10-22,False,110.0,2.2916666666666665,103.5,0.1835748792270531,0.4918032786885246,0.3518518518518518,0.6029411764705882,0.5,0.4867256637168141,1.0628019323671498,0.9758454106280192
CLE,22100027,2021-10-23,True,101.0,2.1041666666666665,101.0,0.099009900990099,0.4841269841269841,0.3220338983050847,0.6268656716417911,0.4550561797752809,0.4353448275862069,1.0,0.9405940594059404
ATL,22100027,2021-10-23,False,95.0,1.9791666666666667,101.0,0.0891089108910891,0.5158730158730159,0.373134328358209,0.6779661016949152,0.4343434343434343,0.4166666666666667,0.9405940594059404,1.0
IND,22100028,2021-10-23,True,100.0,1.8867924528301887,113.5,0.1409691629955947,0.5,0.3174603174603174,0.6949152542372882,0.4432989690721649,0.423728813559322,0.8810572687224669,0.801762114537445
MIA,22100028,2021-10-23,False,91.0,1.7169811320754718,113.5,0.1938325991189427,0.5,0.3050847457627119,0.6825396825396826,0.4340659340659341,0.4333333333333333,0.801762114537445,0.8810572687224669
TOR,22100029,2021-10-23,True,95.0,1.9791666666666667,100.0,0.12,0.5172413793103449,0.3442622950819672,0.7090909090909091,0.4647058823529412,0.4398148148148148,0.95,1.03
DAL,22100029,2021-10-23,False,103.0,2.145833333333333,100.0,0.09,0.4827586206896552,0.2909090909090909,0.6557377049180327,0.4945054945054945,0.4724770642201835,1.03,0.95
